impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-124926,A605548,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2077327,LOST,Midnight,Dog,,Male,Miniature Pinscher,Unknown,01/14/2020 12:00:00 AM,Date Lost,#634,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2077327,Image Copyright HLP Inc. 2020,,
K20-124710,A604632,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2073353,In Public Home,,Cat,,Male,Domestic Shorthair,Brown,01/04/2020 12:00:00 AM,Date Found,17980 NE UNION HILL RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2073353,Image Copyright HLP Inc. 2020,,
K20-124836,A605105,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Domestic Longhair,Orange / White,01/11/2020 12:00:00 AM,Received on,47000 244TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-11<p/> Found Near: 47000 244TH AVE SE, ENUMCLAW WA 98022<p/> Description: Orange / White Male Domestic Longhair Cat<p/> Age: NO AGE<p/>",
K20-125061,A606080,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Mosie,Dog,10 YEARS,Neutered Male,Pomeranian,Tan,01/24/2020 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606080,Image Copyright HLP Inc. 2020,"Received on: 2020-01-24<p/> Description: Tan Neutered Male Pomeranian Dog<p/> Age: 10 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Mosie and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on 1/24/20 because my owner passed away.<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home! I am a gentle and loving dog who likes to take things slow and would need a forever home that understand i am an old boy who needs someone to be gentle with me.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! My caregivers have noticed that I seem to do well with other small older dogs. When meeting dogs in a new home, I would do best with a slow introduction. Because of my age i would prefer to be in a home with no children or older respectful children.<p/><p/>",GREEN
K19-124613,A604189,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A604189,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Trap,Dog,1 YEAR 5 MONTHS,Male,Pit Bull / Akita,Black / White,12/30/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A604189,Image Copyright HLP Inc. 2020,"Received on: 2019-12-30<p/> Description: Black / White<p/>  Male Pit Bull / Akita Dog<p/> Age: 1 YEAR 5 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Trap and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on 12/30/19<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/> I am a very smart dog! At the shelter I am practicing how to ""sit"" and ""down""<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. My caregivers have observed that I don't get along with other dogs. I may do best as the only dog in my new home, or need to meet other dogs in the home first. I would do best in a home with children who are comfortable with a jumping high energy pup like myself.Hi! My name is [name] and I am available for adoption.<p/><p/>",RED
K20-124693,A604519,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2072978,LOST,Brains,Cat,,Male,Domestic Shorthair,Unknown,01/03/2020 12:00:00 AM,Date Lost,16TH AVE S AND LUCILE ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2072978,Image Copyright HLP Inc. 2020,,
K20-124731,A604683,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,2 YEARS,Female,Australian Cattle Dog,Blue Merle,01/06/2020 12:00:00 AM,Received on,20800 SE 424TH ST,ENUMCLAW,WA,98022,KING COUNTY,47.221005,-122.064168,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-06<p/> Found Near: 20800 SE 424TH ST, ENUMCLAW WA 98022<p/> Description: Blue Merle Female Australian Cattle Dog Dog<p/> Age: 2 YEARS<p/>",
K20-125003,A605873,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2079047,LOST,Rue,Dog,,Male,Chihuahua - Smooth Coated,Unknown,01/22/2020 12:00:00 AM,Date Lost,800 NW 85TH ST,SEATTLE,WA,98117,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2079047,Image Copyright HLP Inc. 2020,,
K20-124931,A605593,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A605593,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pancake,Dog,12 YEARS,Neutered Male,Chihuahua - Smooth Coated,Brown,01/17/2020 12:00:00 AM,Received on,9600 14TH AVE SW,SEATTLE,WA,98106,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A605593,Image Copyright HLP Inc. 2020,"Received on: 2020-01-17<p/> Found Near: 9600 14TH AVE SW, SEATTLE WA 98106<p/> Description: Brown Neutered Male Chihuahua - Smooth Coated Dog<p/> Age: 12 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K20-124699,A604525,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2073118,LOST,Hobbes,Cat,,Male,Domestic Mediumhair,Unknown,12/27/2019 12:00:00 AM,Date Lost,1286 173RD AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2073118,Image Copyright HLP Inc. 2020,,
K20-125125,A606230,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2080844,LOST,Midnight,Cat,,Female,Domestic Shorthair,Unknown,01/27/2020 12:00:00 AM,Date Lost,36211 SE SAINT ANDREWS LANE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2080844,Image Copyright HLP Inc. 2020,,
K20-124830,A605079,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2075319,In Public Home,,Dog,,Female,Rat Terrier,Black / White,01/10/2020 12:00:00 AM,Date Found,BOTHELL WAY AND 39TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2075319,Image Copyright HLP Inc. 2020,,
